2018-04-17 02:03:22,0
2018-04-17 02:03:23,1793
2018-04-17 02:04:10,0
2018-04-17 02:04:30,0
2018-04-17 02:04:31,804
2018-04-17 02:04:32,813
2018-04-17 02:04:33,822
2018-04-17 02:04:34,828
2018-04-17 02:04:35,835
2018-04-17 02:04:36,841
2018-04-17 02:04:37,847
2018-04-17 02:04:38,851
2018-04-17 02:04:39,856
2018-04-17 02:04:40,860
2018-04-17 02:04:41,863
2018-04-17 02:04:42,867
2018-04-17 02:04:43,870
2018-04-17 02:04:44,872
2018-04-17 02:04:45,874
2018-04-17 02:04:46,876
2018-04-17 02:04:47,878
2018-04-17 02:04:48,879
2018-04-17 02:04:49,881
